=====================================================================================
time: 2026-03-08 03:30:57
best Epoch: 38
=====================================================================================
var      best Epoch      train MSE              valid MSE              test MSE             
-------------------------------------------------------------------------------------
0        38           0.000028           0.000039           0.000031          
1        38           0.000151           0.000409           0.000292          
2        38           0.000135           0.000402           0.000324          
3        38           0.000053           0.000144           0.000125          
4        38           0.000045           0.000125           0.000111          
5        38           0.000038           0.000101           0.000093          
6        38           0.000202           0.000576           0.000556          
7        38           0.000918           0.000978           0.000975          
8        38           0.000351           0.000892           0.000906          
9        38           0.000112           0.000262           0.000260          
10       38           0.000310           0.000883           0.000862          
11       38           0.001177           0.004003           0.003814          
12       38           0.040148           0.149390           0.137840          
13       38           0.000370           0.000520           0.000438          
14       38           0.000328           0.000524           0.000429          
15       38           0.000234           0.000413           0.000314          
16       38           0.000355           0.000604           0.000527          
17       38           0.000297           0.000533           0.000485          
18       38           0.000236           0.000459           0.000404          
19       38           0.000434           0.000954           0.000865          
20       38           0.000411           0.000921           0.000851          
21       38           0.000419           0.000935           0.000882          
22       38           0.000452           0.000997           0.000967          
23       38           0.000652           0.001198           0.001155          
24       38           0.000781           0.001326           0.001263          
25       38           0.000933           0.001429           0.001362          
26       38           0.063469           0.257300           0.267578          
27       38           0.045055           0.184251           0.146122          
28       38           0.041944           0.198600           0.165739          
29       38           0.041121           0.206982           0.181194          
30       38           0.051165           0.232647           0.210380          
31       38           0.061559           0.251932           0.232699          
32       38           0.073297           0.262477           0.248257          
33       38           0.088140           0.274749           0.260634          
34       38           0.098746           0.279962           0.265288          
35       38           0.120683           0.288491           0.274852          
36       38           0.136611           0.271938           0.272775          
37       38           0.118225           0.236545           0.235057          
38       38           0.125871           0.245341           0.241437          
39       38           0.368349           0.990785           0.871382          
40       38           0.215109           0.702695           0.640330          
41       38           0.139187           0.593418           0.558179          
42       38           0.122092           0.582180           0.525369          
43       38           0.132056           0.538688           0.500081          
44       38           0.146192           0.510390           0.487309          
45       38           0.158055           0.478987           0.460335          
46       38           0.166195           0.421712           0.418248          
47       38           0.164851           0.397492           0.384890          
48       38           0.172682           0.369165           0.353689          
49       38           0.172002           0.327993           0.324586          
50       38           0.141563           0.274415           0.274095          
51       38           0.137606           0.260385           0.257583          
52       38           0.073611           0.367750           0.601058          
53       38           0.162013           0.633675           0.542654          
54       38           0.160071           0.390353           0.365401          
55       38           0.170661           0.391087           0.361707          
56       38           0.179273           0.403925           0.378402          
57       38           0.171267           0.388830           0.371723          
58       38           0.170986           0.360542           0.355155          
59       38           0.145747           0.290301           0.286401          
60       38           0.126563           0.233190           0.224182          
61       38           0.111867           0.185692           0.173469          
62       38           0.065470           0.096901           0.091111          
63       38           0.038944           0.062096           0.058420          
64       38           0.024248           0.043117           0.041923          
65       38           0.001546           0.001957           0.001897          
66       38           0.126484           0.245130           0.241531          
67       38           0.138339           0.260988           0.259286          
68       38           0.000012           0.000031           0.000029          
-------------------------------------------------------------------------------------
average      -            0.075630           0.205277           0.196646          
=====================================================================================
